LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1207,2015-10-18,"18:07:08,188",INFO,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,"Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)",E91,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: {server}:8030. Already tried {tries} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={maxRetries}, sleepTime={sleepTime} MILLISECONDS)",158,62,"Retrying connect to server: <ip>:<port>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<maxRetries>, sleepTime=<sleepTime>).",161,59,"Retrying connect to server: {host}:{port}. Already tried {count} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={maxRetries}, sleepTime={sleepTime} MILLISECONDS)",160,61,"Retrying connect to server: <server>{server}:{port}. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={retries}, sleepTime={sleep} {unit})",161,59,Retrying connect to server: {host}:{port}. Already tried {retried} time(s); retry policy is {policy},154,31,Retrying connect to server: <server>:<port>. Already tried {count} time(s); retry policy is {policy},154,30,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: <ip>:<port>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<maxRetries>, sleepTime=<sleepTime>).","Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: <*>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> <*>)",Retrying connect to server: <*>. Already tried <*> time(s); retry policy is <*>,Retrying connect to server: <server>:<port>. Already tried <*> time(s); retry policy is <*>
1208,2015-10-18,"18:07:08,188",ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,ERROR IN CONTACTING RM.,E38,ERROR IN CONTACTING RM.,"ERROR IN CONTACTING RM.'

The template of 'Failed to launch container. Error: <message>' is 'Failed to launch container. Error: <message>",103,38,ERROR IN CONTACTING RM.,104,10,ERROR IN CONTACTING RM.,103,10,ERROR IN CONTACTING <rm>,104,10,ERROR IN CONTACTING RM.,100,9,ERROR IN CONTACTING RM.,100,9,ERROR IN CONTACTING RM.' The template of 'Failed to launch container. Error: <message>' is 'Failed to launch container. Error: <message>,ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,ERROR IN CONTACTING <rm>,ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.
1209,2015-10-18,"18:07:08,220",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_address} New: {new_address},142,19,Address change detected. Old: <ip>:<port> New: <ip>:<port>,143,21,"Address change detected. Old: {old_address}, New: {new_address}",142,19,Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,143,24,Address change detected. Old: {old_address} New: {new_address},140,19,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>,140,23,Address change detected. Old: <*> New: <*>,Address change detected. Old: <ip>:<port> New: <ip>:<port>,"Address change detected. Old: <*>, New: <*>",Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>
1210,2015-10-18,"18:07:08,220",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 130 seconds.  Will retry shortly ...,E44,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_{lease}] for {seconds} seconds.  Will retry shortly ...,136,30,"Failed to renew lease for <node_name>, will retry shortly ...",140,17,Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <seconds> seconds.  Will retry shortly ...,139,39,Failed to renew lease for <clientId> for <seconds> seconds.  Will retry shortly ...,140,23,Failed to renew lease for [DFSClient_NONMAPREDUCE_{id}] for {time} seconds. Will retry shortly ...,138,34,Failed to renew lease for <{instance}> for <seconds>.  Will retry shortly ...,138,25,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,"Failed to renew lease for <node_name>, will retry shortly ...",Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <seconds> seconds. Will retry shortly ...,Failed to renew lease for <clientId> for <seconds> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for <*> for <seconds>. Will retry shortly ...
1211,2015-10-18,"18:07:09,188",WARN,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_ip}:{old_port} New: {new_ip}:{new_port},142,29,"Address change detected. Old: <old_address>, New: <new_address>",143,19,Address change detected. Old: {old_address}:{old_port} New: {new_address}:{new_port},142,29,Address change detected. Old: <old_address> New: <new_address>,143,19,Address change detected. Old: {oldIp}:{oldPort} New: {newIp}:{newPort},140,25,Address change detected. Old: <host>:<port> New: <host>:<port>,140,21,Address change detected. Old: <*> New: <*>,"Address change detected. Old: <old_address>, New: <new_address>",Address change detected. Old: <*> New: <*>,Address change detected. Old: <old_address> New: <new_address>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <host>:<port> New: <host>:<port>
1212,2015-10-18,"18:07:09,266",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_address} New: {new_address},142,19,Address change detected. Old: <ip>:<port> New: <ip>:<port>,143,21,"Address change detected. Old: {old_address}, New: {new_address}",142,19,Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,143,24,Address change detected. Old: {old_address} New: {new_address},140,19,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>,140,23,Address change detected. Old: <*> New: <*>,Address change detected. Old: <ip>:<port> New: <ip>:<port>,"Address change detected. Old: <*>, New: <*>",Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>
1213,2015-10-18,"18:07:09,266",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 131 seconds.  Will retry shortly ...,E44,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_{lease}] for {time} seconds.  Will retry shortly ...,136,30,Failed to renew lease for [DFSClient_{DFSClient_NONMAPREDUCE_1537864556}_{1}] for {seconds}.  Will retry shortly ...,140,47,Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <seconds> seconds.  Will retry shortly ...,139,39,Failed to renew lease for <leaseId> for <duration> seconds.  Will retry shortly ...,140,23,Failed to renew lease for [DFSClient_NONMAPREDUCE_{taskId}] for {seconds} seconds. Will retry shortly ...,138,35,Failed to renew lease for [{resourceName}] for <seconds> seconds.  Will retry shortly ...,138,27,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*>. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <seconds> seconds. Will retry shortly ...,Failed to renew lease for <leaseId> for <duration> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <seconds> seconds. Will retry shortly ...
1214,2015-10-18,"18:07:10,188",INFO,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,"Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)",E91,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: {server}:8030. Already tried {tries} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={maxRetries}, sleepTime={sleepTime} MILLISECONDS)",158,62,"Retrying connect to server: <ip>:<port>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<maxRetries>, sleepTime=<sleepTime>).",161,59,"Retrying connect to server: {host}:{port}. Already tried {count} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={maxRetries}, sleepTime={sleepTime} MILLISECONDS)",160,61,"Retrying connect to server: <server>{server}:{port}. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={retries}, sleepTime={sleep} {unit})",161,59,Retrying connect to server: {host}:{port}. Already tried {retried} time(s); retry policy is {policy},154,31,Retrying connect to server: <server>:<port>. Already tried {count} time(s); retry policy is {policy},154,30,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: <ip>:<port>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<maxRetries>, sleepTime=<sleepTime>).","Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: <*>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> <*>)",Retrying connect to server: <*>. Already tried <*> time(s); retry policy is <*>,Retrying connect to server: <server>:<port>. Already tried <*> time(s); retry policy is <*>
1215,2015-10-18,"18:07:10,188",ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,ERROR IN CONTACTING RM.,E38,ERROR IN CONTACTING RM.,"ERROR IN CONTACTING RM.'

The template of 'Failed to launch container. Error: <message>' is 'Failed to launch container. Error: <message>",103,38,ERROR IN CONTACTING RM.,104,10,ERROR IN CONTACTING RM.,103,10,ERROR IN CONTACTING <rm>,104,10,ERROR IN CONTACTING RM.,100,9,ERROR IN CONTACTING RM.,100,9,ERROR IN CONTACTING RM.' The template of 'Failed to launch container. Error: <message>' is 'Failed to launch container. Error: <message>,ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,ERROR IN CONTACTING <rm>,ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.
1216,2015-10-18,"18:07:10,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_address} New: {new_address},142,19,Address change detected. Old: <ip>:<port> New: <ip>:<port>,143,21,"Address change detected. Old: {old_address}, New: {new_address}",142,19,Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,143,24,Address change detected. Old: {old_address} New: {new_address},140,19,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>,140,23,Address change detected. Old: <*> New: <*>,Address change detected. Old: <ip>:<port> New: <ip>:<port>,"Address change detected. Old: <*>, New: <*>",Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>
1217,2015-10-18,"18:07:10,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 132 seconds.  Will retry shortly ...,E44,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_{lease}] for {duration} seconds.  Will retry shortly ...,136,30,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 132 seconds.  Will retry shortly ...,140,45,Failed to renew lease for [DFSClient_NONMAPREDUCE_<process_id>_<timestamp>] for <seconds> seconds.  Will retry shortly ...,139,41,Failed to renew lease for [DFSClient_{type}_{id}] for <time> seconds.  Will retry shortly ...,140,28,Failed to renew lease for [DFSClient_NONMAPREDUCE_{id}] for {seconds} seconds. Will retry shortly ...,138,34,Failed to renew lease for <name>:<leaseID> for <seconds>. Will retry shortly ...,138,27,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<process_id>_<timestamp>] for <seconds> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <time> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for <name>:<leaseID> for <seconds>. Will retry shortly ...
1218,2015-10-18,"18:07:11,188",WARN,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_ip}:{old_port} New: {new_ip}:{new_port},142,29,"Address change detected. Old: <old_address>, New: <new_address>",143,19,Address change detected. Old: {old_address}:{old_port} New: {new_address}:{new_port},142,29,Address change detected. Old: <old_address> New: <new_address>,143,19,Address change detected. Old: {oldIp}:{oldPort} New: {newIp}:{newPort},140,25,Address change detected. Old: <host>:<port> New: <host>:<port>,140,21,Address change detected. Old: <*> New: <*>,"Address change detected. Old: <old_address>, New: <new_address>",Address change detected. Old: <*> New: <*>,Address change detected. Old: <old_address> New: <new_address>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <host>:<port> New: <host>:<port>
1219,2015-10-18,"18:07:11,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_address} New: {new_address},142,19,Address change detected. Old: <ip>:<port> New: <ip>:<port>,143,21,"Address change detected. Old: {old_address}, New: {new_address}",142,19,Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,143,24,Address change detected. Old: {old_address} New: {new_address},140,19,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>,140,23,Address change detected. Old: <*> New: <*>,Address change detected. Old: <ip>:<port> New: <ip>:<port>,"Address change detected. Old: <*>, New: <*>",Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>
1220,2015-10-18,"18:07:11,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 133 seconds.  Will retry shortly ...,E44,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_{time}_1] for {seconds} seconds.  Will retry shortly ...,136,32,Failed to renew lease for [DFSClient_NONMAPREDUCE_{client_id}_{timestamp}] for {duration} seconds.  Will retry shortly ...,140,38,Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <time_unit> seconds.  Will retry shortly ...,139,41,Failed to renew lease for <lease> for <time> seconds.  Will retry shortly ...,140,22,Failed to renew lease for [DFSClient_NONMAPREDUCE_{id}] for {time} seconds. Will retry shortly ...,138,34,Failed to renew lease for <name>:<lease-id> for <seconds> seconds.  Will retry shortly ...,138,30,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <time_unit> seconds. Will retry shortly ...,Failed to renew lease for <lease> for <time> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for <name>:<lease-id> for <seconds> seconds. Will retry shortly ...
1221,2015-10-18,"18:07:12,189",INFO,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,"Retrying connect to server: msra-sa-41:8030. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)",E91,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: {server}:8030. Already tried {tries} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={maxRetries}, sleepTime={sleepTime} MILLISECONDS)",158,62,"Retrying connect to server: <ip>:<port>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<maxRetries>, sleepTime=<sleepTime>).",161,59,"Retrying connect to server: {host}:{port}. Already tried {count} time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={maxRetries}, sleepTime={sleepTime} MILLISECONDS)",160,61,"Retrying connect to server: <server>{server}:{port}. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries={retries}, sleepTime={sleep} {unit})",161,59,Retrying connect to server: {host}:{port}. Already tried {retried} time(s); retry policy is {policy},154,31,Retrying connect to server: <server>:<port>. Already tried {count} time(s); retry policy is {policy},154,30,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: <ip>:<port>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<maxRetries>, sleepTime=<sleepTime>).","Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)","Retrying connect to server: <*>. Already tried <tried> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> <*>)",Retrying connect to server: <*>. Already tried <*> time(s); retry policy is <*>,Retrying connect to server: <server>:<port>. Already tried <*> time(s); retry policy is <*>
1222,2015-10-18,"18:07:12,189",ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,ERROR IN CONTACTING RM.,E38,ERROR IN CONTACTING RM.,"ERROR IN CONTACTING RM.'

The template of 'Failed to launch container. Error: <message>' is 'Failed to launch container. Error: <message>",103,38,ERROR IN CONTACTING RM.,104,10,ERROR IN CONTACTING RM.,103,10,ERROR IN CONTACTING <rm>,104,10,ERROR IN CONTACTING RM.,100,9,ERROR IN CONTACTING RM.,100,9,ERROR IN CONTACTING RM.' The template of 'Failed to launch container. Error: <message>' is 'Failed to launch container. Error: <message>,ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.,ERROR IN CONTACTING <rm>,ERROR IN CONTACTING RM.,ERROR IN CONTACTING RM.
1223,2015-10-18,"18:07:12,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_address} New: {new_address},142,19,Address change detected. Old: <ip>:<port> New: <ip>:<port>,143,21,"Address change detected. Old: {old_address}, New: {new_address}",142,19,Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,143,24,Address change detected. Old: {old_address} New: {new_address},140,19,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>,140,23,Address change detected. Old: <*> New: <*>,Address change detected. Old: <ip>:<port> New: <ip>:<port>,"Address change detected. Old: <*>, New: <*>",Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>
1224,2015-10-18,"18:07:12,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 134 seconds.  Will retry shortly ...,E44,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_{lease}] for {duration} seconds.  Will retry shortly ...,136,30,Failed to renew lease for [DFSClient_{client_id}] for {time} seconds.  Will retry shortly ...,140,28,Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <time_to_retry> seconds.  Will retry shortly ...,139,44,Failed to renew lease for [DFSClient_{clientId}] for <seconds>{seconds} seconds.  Will retry shortly ...,140,29,Failed to renew lease for [DFSClient_NONMAPREDUCE_{pid}] for {seconds} seconds. Will retry shortly ...,138,34,Failed to renew lease for <service-name>:<service-id> for <seconds> seconds.  Will retry shortly ...,138,32,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<pid>_<timestamp>] for <time_to_retry> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for <service-name>:<service-id> for <seconds> seconds. Will retry shortly ...
1225,2015-10-18,"18:07:13,189",WARN,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:8030 New: msra-sa-41:8030,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_ip}:{old_port} New: {new_ip}:{new_port},142,29,"Address change detected. Old: <old_address>, New: <new_address>",143,19,Address change detected. Old: {old_address}:{old_port} New: {new_address}:{new_port},142,29,Address change detected. Old: <old_address> New: <new_address>,143,19,Address change detected. Old: {oldIp}:{oldPort} New: {newIp}:{newPort},140,25,Address change detected. Old: <host>:<port> New: <host>:<port>,140,21,Address change detected. Old: <*> New: <*>,"Address change detected. Old: <old_address>, New: <new_address>",Address change detected. Old: <*> New: <*>,Address change detected. Old: <old_address> New: <new_address>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <host>:<port> New: <host>:<port>
1226,2015-10-18,"18:07:13,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*> New: <*>,Address change detected. Old: {old_address} New: {new_address},142,19,Address change detected. Old: <ip>:<port> New: <ip>:<port>,143,21,"Address change detected. Old: {old_address}, New: {new_address}",142,19,Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,143,24,Address change detected. Old: {old_address} New: {new_address},140,19,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>,140,23,Address change detected. Old: <*> New: <*>,Address change detected. Old: <ip>:<port> New: <ip>:<port>,"Address change detected. Old: <*>, New: <*>",Address change detected. Old: <host>/<ip>:<port> New: <host>:<port>,Address change detected. Old: <*> New: <*>,Address change detected. Old: <hostname>:<port> New: <hostname>:<port>
1227,2015-10-18,"18:07:13,267",WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 135 seconds.  Will retry shortly ...,E44,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_{time}_1] for {seconds} seconds.  Will retry shortly ...,136,32,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for 135 seconds.  Will retry shortly ...,140,45,Failed to renew lease for [DFSClient_NONMAPREDUCE_<process_id>_<timestamp>] for <seconds> seconds.  Will retry shortly ...,139,41,Failed to renew lease for <lease-name> for <time> seconds.  Will retry shortly ...,140,24,Failed to renew lease for [DFSClient_NONMAPREDUCE_{id}] for {seconds} seconds. Will retry shortly ...,138,34,Failed to renew lease for [<service_name>:{instance_id}] for <duration>.  Will retry shortly ...,138,32,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_1537864556_1] for <*> seconds. Will retry shortly ...,Failed to renew lease for [DFSClient_NONMAPREDUCE_<process_id>_<timestamp>] for <seconds> seconds. Will retry shortly ...,Failed to renew lease for <lease-name> for <time> seconds. Will retry shortly ...,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,Failed to renew lease for [<service_name>:<*>] for <duration>. Will retry shortly ...
