LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1170,03-17,16:15:27.188,1702,17630,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",E109,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",Releasing suspend blocker {string},116,9,"Releasing suspend blocker ""{name}""",123,11,"Releasing suspend blocker ""{name}"".",122,12,"Releasing suspend blocker ""{string}""",123,11,"Releasing suspend blocker ""{string}"".",120,13,"Releasing suspend blocker ""{service}"".",120,13,Releasing suspend blocker <*>,"Releasing suspend blocker ""<*>","Releasing suspend blocker ""<*>"".","Releasing suspend blocker ""<*>","Releasing suspend blocker ""<*>"".","Releasing suspend blocker ""<*>""."
1171,03-17,16:15:27.189,1702,3693,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
1172,03-17,16:15:27.190,1702,3693,D,PowerManagerService,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",E11,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".","Acquiring suspend blocker ""{string}"".",117,11,"Acquiring suspend blocker ""{service}"" ""PowerManagerService.WakeLocks""",123,21,"Acquiring suspend blocker ""{service}"".",122,12,"Acquiring suspend blocker ""{string}""",123,11,"Acquiring suspend blocker ""{string}"".",120,13,"Acquiring suspend blocker ""{service}"".",120,13,"Acquiring suspend blocker ""<*>"".","Acquiring suspend blocker ""<*>"" ""PowerManagerService.WakeLocks","Acquiring suspend blocker ""<*>"".","Acquiring suspend blocker ""<*>","Acquiring suspend blocker ""<*>"".","Acquiring suspend blocker ""<*>""."
1173,03-17,16:15:27.198,1702,17632,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float} userId={int}",178,69,"ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={float}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={string}, uasummary={string}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={double}, userid={int}",173,78,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*> userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userid=<*>"
1174,03-17,16:15:27.198,1702,17632,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",E109,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",Releasing suspend blocker {string},116,9,"Releasing suspend blocker ""{name}""",123,11,"Releasing suspend blocker ""{name}"".",122,12,"Releasing suspend blocker ""{string}""",123,11,"Releasing suspend blocker ""{string}"".",120,13,"Releasing suspend blocker ""{service}"".",120,13,Releasing suspend blocker <*>,"Releasing suspend blocker ""<*>","Releasing suspend blocker ""<*>"".","Releasing suspend blocker ""<*>","Releasing suspend blocker ""<*>"".","Releasing suspend blocker ""<*>""."
1175,03-17,16:15:27.236,2626,2838,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
1176,03-17,16:15:27.237,2626,2838,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
1177,03-17,16:15:27.269,1702,1737,W,ActivityManager,getRunningAppProcesses: caller 10027 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,128,25,getRunningAppProcesses caller {pid} does not hold REAL_GET_TASKS; limiting output,134,25,getRunningAppProcesses: {caller} does not hold {permission}; limiting output,133,20,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,134,26,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller {int} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: <*> does not hold <*>; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
1178,03-17,16:15:27.270,1702,2558,W,ActivityManager,getRunningAppProcesses: caller 10027 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,128,25,getRunningAppProcesses caller {pid} does not hold REAL_GET_TASKS; limiting output,134,25,getRunningAppProcesses: {caller} does not hold {permission}; limiting output,133,20,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,134,26,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller {int} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: <*> does not hold <*>; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
1179,03-17,16:15:27.283,2626,8682,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
1180,03-17,16:15:27.284,2626,8682,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
1181,03-17,16:15:27.305,2626,2808,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
1182,03-17,16:15:27.305,2626,2808,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
1183,03-17,16:15:27.628,1702,2107,W,ActivityManager,getRunningAppProcesses: caller 10027 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,128,25,getRunningAppProcesses caller {pid} does not hold REAL_GET_TASKS; limiting output,134,25,getRunningAppProcesses: {caller} does not hold {permission}; limiting output,133,20,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,134,26,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller {int} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: <*> does not hold <*>; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
1184,03-17,16:15:27.828,1702,2107,I,DisplayManagerService,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false,E147,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested={bool},118,19,stopWifiDisplayScanLocked mWifiDisplayScanRequested={bool},124,18,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested:{bool},123,20,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested={bool},124,20,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested={bool},121,20,stopWifiDisplayScanLocked record.{string}={boolean},121,16,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,stopWifiDisplayScanLocked mWifiDisplayScanRequested=<*>,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested:<*>,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,stopWifiDisplayScanLocked record.<*>=<*>
1185,03-17,16:15:27.828,1702,2107,I,DisplayManagerService,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=0,E146,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount={number},116,17,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount={int},122,18,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount={number},121,18,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount={number},122,18,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount={number},119,18,stopWifiDisplayScanLocked {int},119,11,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,stopWifiDisplayScanLocked <*>
1186,03-17,16:15:27.829,1702,27365,D,ActivityManager,cleanUpApplicationRecord -- 13094,E36,cleanUpApplicationRecord -- <*>,cleanUpApplicationRecord -- {number},112,9,cleanUpApplicationRecord -- {int},117,9,cleanUpApplicationRecord -- {number},116,9,cleanUpApplicationRecord -- {number},117,9,cleanUpApplicationRecord -- {int},114,9,-- {int},114,6,cleanUpApplicationRecord -- <*>,cleanUpApplicationRecord -- <*>,cleanUpApplicationRecord -- <*>,cleanUpApplicationRecord -- <*>,cleanUpApplicationRecord -- <*>,-- <*>
1187,03-17,16:15:27.830,1702,27365,I,ActivityManager,"cleanUpApplicationRecordLocked, pid: 13094, restart: false",E37,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>","cleanUpApplicationRecordLocked, pid: {number}, restart: {bool}",119,17,"cleanUpApplicationRecordLocked, pid:{int}, restart:{bool}.",125,16,"cleanUpApplicationRecordLocked, pid:{int}, restart:{bool}",124,16,"cleanUpApplicationRecordLocked, pid:{number}, restart:{bool}",125,16,"cleanUpApplicationRecordLocked, pid: {number}, restart: {bool}",122,19,"cleanUpApplicationRecordLocked, pid: {int}, restart: {bool}",122,19,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>","cleanUpApplicationRecordLocked, pid:<*>, restart:<*>.","cleanUpApplicationRecordLocked, pid:<*>, restart:<*>","cleanUpApplicationRecordLocked, pid:<*>, restart:<*>","cleanUpApplicationRecordLocked, pid: <*>, restart: <*>","cleanUpApplicationRecordLocked, pid: <*>, restart: <*>"
1188,03-17,16:15:27.830,1702,27365,I,ActivityManager,"cleanUpApplicationRecordLocked, reset pid: 13094, euid: 0",E38,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>","cleanUpApplicationRecordLocked, reset pid: {number}, euid: {number}",122,19,"cleanUpApplicationRecordLocked, reset pid:{number}, euid:{number}",128,18,"cleanUpApplicationRecordLocked, reset pid:{number}, euid:{number}",127,18,"cleanUpApplicationRecordLocked, reset pid:{number}, euid:{number}",128,18,"cleanUpApplicationRecordLocked, reset pid: {pid}, euid: {euid}",125,22,"cleanUpApplicationRecordLocked, reset pid={pid}, euid={euid}",125,20,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>","cleanUpApplicationRecordLocked, reset pid:<*>, euid:<*>","cleanUpApplicationRecordLocked, reset pid:<*>, euid:<*>","cleanUpApplicationRecordLocked, reset pid:<*>, euid:<*>","cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>","cleanUpApplicationRecordLocked, reset pid=<*>, euid=<*>"
1189,03-17,16:15:28.099,2626,8682,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
1190,03-17,16:15:28.100,2626,8682,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
1191,03-17,16:15:28.488,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,E64,HBM brightnessIn =<*>,HBM brightnessIn ={number},109,10,HBM brightnessIn={int}.,115,10,HBM brightnessIn={number},114,10,HBM brightnessIn={number},115,10,HBM brightnessIn={number},110,8,HBM brightnessIn={number},110,8,HBM brightnessIn =<*>,HBM brightnessIn=<*>.,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>
1192,03-17,16:15:28.489,1702,1820,I,DisplayPowerController,HBM brightnessOut =38,E65,HBM brightnessOut =<*>,HBM brightnessOut ={number},109,10,HBM brightnessOut={int}.,115,10,HBM brightnessOut={number},114,10,HBM brightnessOut ={number},115,11,HBM brightnessOut ={number},110,9,HBM brightnessOut={number},110,8,HBM brightnessOut =<*>,HBM brightnessOut=<*>.,HBM brightnessOut=<*>,HBM brightnessOut =<*>,HBM brightnessOut =<*>,HBM brightnessOut=<*>
1193,03-17,16:15:28.489,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200",E21,"Animating brightness: target=<*>, rate=<*>","Animating brightness: target={number}, rate={number}",116,14,"Animating brightness: target={number}, rate={number}",121,14,"Animating brightness: target={number}, rate={number}",120,14,"Animating brightness: target={number}, rate={number}",121,14,"Animating brightness: target={number}, rate={number}",117,14,"Animating brightness: target={number}, rate={number}",117,14,"Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>"
1194,03-17,16:15:28.790,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,E64,HBM brightnessIn =<*>,HBM brightnessIn ={number},109,10,HBM brightnessIn={int}.,115,10,HBM brightnessIn={number},114,10,HBM brightnessIn={number},115,10,HBM brightnessIn={number},110,8,HBM brightnessIn={number},110,8,HBM brightnessIn =<*>,HBM brightnessIn=<*>.,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>
1195,03-17,16:15:28.790,1702,1820,I,DisplayPowerController,HBM brightnessOut =38,E65,HBM brightnessOut =<*>,HBM brightnessOut ={number},109,10,HBM brightnessOut={int}.,115,10,HBM brightnessOut={number},114,10,HBM brightnessOut ={number},115,11,HBM brightnessOut ={number},110,9,HBM brightnessOut={number},110,8,HBM brightnessOut =<*>,HBM brightnessOut=<*>.,HBM brightnessOut=<*>,HBM brightnessOut =<*>,HBM brightnessOut =<*>,HBM brightnessOut=<*>
1196,03-17,16:15:28.790,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200",E21,"Animating brightness: target=<*>, rate=<*>","Animating brightness: target={number}, rate={number}",116,14,"Animating brightness: target={number}, rate={number}",121,14,"Animating brightness: target={number}, rate={number}",120,14,"Animating brightness: target={number}, rate={number}",121,14,"Animating brightness: target={number}, rate={number}",117,14,"Animating brightness: target={number}, rate={number}",117,14,"Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>"
1197,03-17,16:15:29.091,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,E64,HBM brightnessIn =<*>,HBM brightnessIn ={number},109,10,HBM brightnessIn={int}.,115,10,HBM brightnessIn={number},114,10,HBM brightnessIn={number},115,10,HBM brightnessIn={number},110,8,HBM brightnessIn={number},110,8,HBM brightnessIn =<*>,HBM brightnessIn=<*>.,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>
1198,03-17,16:15:29.091,1702,1820,I,DisplayPowerController,HBM brightnessOut =38,E65,HBM brightnessOut =<*>,HBM brightnessOut ={number},109,10,HBM brightnessOut={int}.,115,10,HBM brightnessOut={number},114,10,HBM brightnessOut ={number},115,11,HBM brightnessOut ={number},110,9,HBM brightnessOut={number},110,8,HBM brightnessOut =<*>,HBM brightnessOut=<*>.,HBM brightnessOut=<*>,HBM brightnessOut =<*>,HBM brightnessOut =<*>,HBM brightnessOut=<*>
1199,03-17,16:15:29.091,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200",E21,"Animating brightness: target=<*>, rate=<*>","Animating brightness: target={number}, rate={number}",116,14,"Animating brightness: target={number}, rate={number}",121,14,"Animating brightness: target={number}, rate={number}",120,14,"Animating brightness: target={number}, rate={number}",121,14,"Animating brightness: target={number}, rate={number}",117,14,"Animating brightness: target={number}, rate={number}",117,14,"Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>","Animating brightness: target=<*>, rate=<*>"
1200,03-17,16:15:29.173,2626,2643,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
1201,03-17,16:15:29.173,2626,2643,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
1202,03-17,16:15:29.392,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,E64,HBM brightnessIn =<*>,HBM brightnessIn ={number},109,10,HBM brightnessIn={int}.,115,10,HBM brightnessIn={number},114,10,HBM brightnessIn={number},115,10,HBM brightnessIn={number},110,8,HBM brightnessIn={number},110,8,HBM brightnessIn =<*>,HBM brightnessIn=<*>.,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>,HBM brightnessIn=<*>
